,icu_days,age,sex,height,weight,bmi,emop,optype,dx,ane_type,death_inhosp
icu_days,1.0,-0.01203653270571033,0.03901792514513313,-0.12242760068269157,-0.09963337374295704,-0.06388246396627564,0.1833268211828333,0.1131445476115336,-0.0141849592147738,-0.03119164724201089,0.29833307503835
age,-0.01203653270571033,1.0,0.1285749949908337,-0.10356985426704882,-0.04590401464438638,0.06696240257133773,-0.04656579595182207,-0.1252894916324243,-0.055406114230354686,-0.025139425675533948,-0.0088992442446258
sex,0.03901792514513313,0.1285749949908337,1.0,0.6027440238997048,0.3737203049916279,-0.012131007391787362,0.03911402853697281,0.06717389328988504,-0.005789409434737198,0.05815475462710095,0.026833867217757483
height,-0.12242760068269157,-0.10356985426704882,0.6027440238997048,1.0,0.5941836358722298,0.020717322092100685,-0.02544036122164922,0.029629820051955854,0.029592294645028175,0.04939304983832914,-0.06532840029903499
weight,-0.09963337374295704,-0.04590401464438638,0.3737203049916279,0.5941836358722298,1.0,0.8034676978772903,-0.08151820102677779,-0.04080695285496853,0.0879182460740849,0.05766781707314541,-0.020435430772383023
bmi,-0.06388246396627564,0.06696240257133773,-0.012131007391787362,0.020717322092100685,0.8034676978772903,1.0,-0.09755717311052794,-0.09215429558358684,0.0818969750418014,0.029267499220329746,-0.00346023294847057
emop,0.1833268211828333,-0.04656579595182207,0.03911402853697281,-0.02544036122164922,-0.08151820102677779,-0.09755717311052794,1.0,0.09122833140929186,-0.060437850649825375,0.05093003227723458,0.11184232350349695
optype,0.1131445476115336,-0.1252894916324243,0.06717389328988504,0.029629820051955854,-0.04080695285496853,-0.09215429558358684,0.09122833140929186,1.0,0.11971212400337827,0.013264636738924262,0.027373417008785567
dx,-0.0141849592147738,-0.055406114230354686,-0.005789409434737198,0.029592294645028175,0.0879182460740849,0.0818969750418014,-0.060437850649825375,0.11971212400337827,1.0,0.047227464294578504,0.0043966845236865105
ane_type,-0.03119164724201089,-0.025139425675533948,0.05815475462710095,0.04939304983832914,0.05766781707314541,0.029267499220329746,0.05093003227723458,0.013264636738924262,0.047227464294578504,1.0,-0.01407481996995853
death_inhosp,0.29833307503835,-0.0088992442446258,0.026833867217757483,-0.06532840029903499,-0.020435430772383023,-0.00346023294847057,0.11184232350349695,0.027373417008785567,0.0043966845236865105,-0.01407481996995853,1.0
