,subjectid,age,sex,height,weight,bmi,emop,optype,dx,ane_type,death_inhosp,icu_days,preop_htn,preop_dm,preop_ecg,preop_pft,preop_hb,preop_plt,preop_pt,preop_aptt,preop_na,preop_k,preop_gluc,preop_alb,preop_ast,preop_alt,preop_bun,preop_cr,preop_ph,preop_hco3,preop_be,preop_pao2,preop_paco2,preop_sao2
subjectid,1.0,-0.007179724806461468,-0.019330823915990385,9.790950148466975e-05,0.005889900020229045,0.007149762126842499,-0.02162041340489937,0.003918705291106635,-0.019269245554994926,-0.021947058047238805,-0.00818964097324249,-0.012493329093928604,-0.01235544546828288,-0.004115652248818667,-0.008983084843333591,-0.01213504925160375,0.007848126515648118,0.007737366828978951,0.0021520169997178464,-0.009589460005198183,0.004395657405370681,0.005438064539617611,-0.014438125970652064,0.00521072124857817,-0.03674349381139493,-0.027631971233553092,0.007757972674430415,0.011114681696457542,-0.06885925487518153,0.008839399399699261,-0.011182942146015146,-0.03947960875802391,0.02539218409284527,0.0021834662173284146
age,-0.007179724806461468,1.0,0.1285749949908337,-0.10356985426704882,-0.04590401464438638,0.06696240257133773,-0.04656579595182207,-0.1252894916324243,-0.055406114230354686,-0.025139425675533948,-0.0088992442446258,-0.012036532705710323,0.356541634551318,0.16523784443599962,-0.06108593894425747,-0.2201446922128177,-0.06682129226805282,-0.07850031201363963,0.10840792218283783,-0.09467058033481332,0.055690566205965616,0.02716759734446684,0.1834881995540766,-0.17392994354336436,-0.029271146086643163,-0.06017577889062718,0.07649540699953353,-0.07623306180261599,0.021052133787661124,0.18990955951462601,0.17263899955513556,0.21991812848972464,-0.09860182689153725,0.4106819276782692
sex,-0.019330823915990385,0.1285749949908337,1.0,0.6027440238997048,0.3737203049916279,-0.012131007391787362,0.03911402853697281,0.06717389328988504,-0.005789409434737198,0.05815475462710095,0.026833867217757483,0.03901792514513313,0.07314525902901604,0.07030187512677481,-0.0016479431061641307,-0.19638549818925943,0.24901539349450846,-0.13198647471141192,-0.07998372465742255,0.03232387959661772,-0.0811524291709401,0.11233491773606563,0.10235638059083275,-0.05477755067620599,0.01930650055417426,0.03073319105545314,0.1032644534644435,0.11111132092443944,-0.0424960456451078,-0.021524390055545625,-0.03380279596740891,0.02540932753347828,-0.05776439907587765,0.16455876963853341
height,9.790950148466975e-05,-0.10356985426704882,0.6027440238997048,1.0,0.5941836358722298,0.020717322092100685,-0.02544036122164922,0.029629820051955854,0.029592294645028175,0.04939304983832914,-0.06532840029903499,-0.12242760068269161,-0.060076542217261365,0.004324840025811707,0.016706737510935207,-0.08964666398539964,0.27985607624002773,-0.05226267380389225,-0.018707932051463576,-0.02594799793727403,-0.011198644972888633,0.09769332381185479,0.024530263021170572,0.11264802319143868,-0.06904608585301036,-0.055131770129415315,-0.03630996754206916,0.06352023240868104,-0.013401401986601344,0.05815333697905985,0.047967321808093204,0.11899966325859654,0.042363479951045314,0.11736986947827371
weight,0.005889900020229045,-0.04590401464438638,0.3737203049916279,0.5941836358722298,1.0,0.8034676978772903,-0.08151820102677779,-0.04080695285496853,0.0879182460740849,0.05766781707314541,-0.020435430772383023,-0.09963337374295704,0.09565310453462823,0.03516504284903082,0.006262813750831983,-0.0047668646471504955,0.3852258968362924,-0.036588016021278966,0.0991652707081174,-0.05059702595390719,0.08382161910686924,0.07764464391099392,0.039967808066254565,0.22492067610469343,-0.05106930672720122,-0.025837654074557598,-0.06641889049680137,-0.003862719646699826,-0.03358729047169601,0.08663898440947201,0.08615665355969865,0.055035933970437406,-0.0026458155665840437,0.12940011993203823
bmi,0.007149762126842499,0.06696240257133773,-0.012131007391787362,0.020717322092100685,0.8034676978772903,1.0,-0.09755717311052794,-0.09215429558358684,0.0818969750418014,0.029267499220329746,-0.00346023294847057,-0.06388246396627567,0.17406387062462156,0.04480125464171156,-0.0069810094120219155,0.05792581657735322,0.26825845115207,0.007426339291540251,0.1514228671562856,-0.06473830581298655,0.12695729646619663,0.027069378593114347,0.03341835629046711,0.20439707995358,-0.03272717478813228,-0.013354626870627719,-0.06885764216302405,-0.06146075258399166,-0.028640791518307458,0.09948584812005531,0.10442608191907911,0.010598237452301732,-0.014144901189490878,0.10413889725146358
emop,-0.02162041340489937,-0.04656579595182207,0.03911402853697281,-0.02544036122164922,-0.08151820102677779,-0.09755717311052794,1.0,0.09122833140929186,-0.060437850649825375,0.05093003227723458,0.11184232350349695,0.1833268211828333,0.015045294789974262,0.007949855921602102,-0.038223306836240666,0.007115087135636457,-0.1768177623449041,-0.04095710109321821,-0.18795817858596953,0.09546674157694574,-0.19438777157653753,-0.03773428760765559,0.07791759267605627,-0.26503019684807916,0.12071930339474937,0.14409783239823457,0.15860171660310093,0.14031012482041627,-0.010111410441365026,-0.028761323834280792,-0.021744467943241422,-0.10752100179241211,0.015194187011442564,-0.13466304717878663
optype,0.003918705291106635,-0.1252894916324243,0.06717389328988504,0.029629820051955854,-0.04080695285496853,-0.09215429558358684,0.09122833140929186,1.0,0.11971212400337827,0.013264636738924262,0.027373417008785567,0.1131445476115336,-0.003894747935307176,-0.014021033595587434,-0.0017537510148959972,0.004968986420302412,-0.060516829002583025,-0.08820757118807919,-0.07307707830893344,0.06758626148536115,-0.10756353678398803,0.06761362242959774,-0.03241484770234965,-0.08624777035398597,0.03484508701831117,0.042611560740815235,0.22623517748727842,0.22889218612598808,-0.03882333824979479,-0.08337240692649012,-0.0782709328225674,-0.05047442270048138,0.023510727427672077,-0.15875829244612832
dx,-0.019269245554994926,-0.055406114230354686,-0.005789409434737198,0.029592294645028175,0.0879182460740849,0.0818969750418014,-0.060437850649825375,0.11971212400337827,1.0,0.047227464294578504,0.0043966845236865105,-0.014184959214773802,-0.05638145428599897,-0.024148444952907886,0.015610968050826027,0.009521911917504216,0.07086640727344598,-0.037002203960414405,-0.009723498258811539,-0.0144853024047509,-0.008162111920606297,0.023193239996737638,0.009552266970919219,0.08113646563152195,-0.013010878220392626,0.0038515408734997383,-0.07451651889062182,-0.07491138814172076,-0.02871731578645638,0.028690059970199917,0.03549916188880865,0.013341341345485003,0.022495785374912803,-0.008888195756856836
ane_type,-0.021947058047238805,-0.025139425675533948,0.05815475462710095,0.04939304983832914,0.05766781707314541,0.029267499220329746,0.05093003227723458,0.013264636738924262,0.047227464294578504,1.0,-0.01407481996995853,-0.03119164724201089,-0.006556432717736734,-0.02714469625486102,-0.011743682461116664,0.001512838536048562,0.05611700192996529,-0.009011274913003634,0.056062704233108225,-0.015725630821373404,-0.03380442862656557,0.038067529170855804,-0.017503650611616905,0.0010357885023748016,-0.01565756991292767,-0.02175007048998534,0.04320163496009019,0.07174249570729763,0.015792467793543284,0.052559643807665764,0.03617719542181391,-0.03749231898291198,0.016118713647327903,0.005191051264304602
death_inhosp,-0.00818964097324249,-0.0088992442446258,0.026833867217757483,-0.06532840029903499,-0.020435430772383023,-0.00346023294847057,0.11184232350349695,0.027373417008785567,0.0043966845236865105,-0.01407481996995853,1.0,0.29833307503835,0.0053123943438671125,-0.015844607583614702,-0.029964907823871203,-0.002323491483198081,-0.0784540661129431,-0.04185331590822348,-0.1443313092201497,0.16844680084973593,-0.11688852784160218,-0.03420192358072164,0.000839445516711965,-0.14190689383278543,0.10492808436111799,0.09979773973744109,0.008582623924206051,-0.015830431114332348,0.0229840251955465,-0.002310620967252813,0.007219528515012913,-0.020498400141328935,-0.04197004147182968,0.0061145873404836685
icu_days,-0.012493329093928604,-0.012036532705710323,0.03901792514513313,-0.12242760068269161,-0.09963337374295704,-0.06388246396627567,0.1833268211828333,0.1131445476115336,-0.014184959214773802,-0.03119164724201089,0.29833307503835,1.0,0.01394215869181843,0.0073165948667863094,-0.045039050831910364,-0.012489827159787349,-0.1741901965327594,-0.12481999592300569,-0.2681385771460154,0.17723330747948152,-0.17529273245517699,-0.07792802319522163,0.06407821907247974,-0.25519549135261294,0.17240704871426246,0.2738490813494362,0.1123282605592719,0.005873439466924493,0.01655081027834553,-0.01768518147848104,0.006267348531848032,-0.11108752298971128,-0.059569925912912665,-0.11274190036697189
preop_htn,-0.01235544546828288,0.356541634551318,0.07314525902901604,-0.060076542217261365,0.09565310453462823,0.17406387062462156,0.015045294789974262,-0.003894747935307176,-0.05638145428599897,-0.006556432717736734,0.0053123943438671125,0.01394215869181843,1.0,0.14674660298065664,-0.04377297586134436,-0.08598092091092625,-0.05069119882042695,-0.013814270754194525,0.09838399078776487,-0.04038896794224897,-0.025573026782071677,0.020250217211013093,0.12445839069524105,-0.06442631909119119,-0.0015840477402225203,-0.0012198241743280366,0.1896048385731831,0.1555110106728989,0.06444412207611729,0.05976747928916062,0.06334632081849348,0.013157707662384659,-0.09781245346350038,0.16314759640182894
preop_dm,-0.004115652248818667,0.16523784443599962,0.07030187512677481,0.004324840025811707,0.03516504284903082,0.04480125464171156,0.007949855921602102,-0.014021033595587434,-0.024148444952907886,-0.02714469625486102,-0.015844607583614702,0.0073165948667863094,0.14674660298065664,1.0,0.0014284688422690724,-0.03664538970446651,-0.05571466544748678,-0.023880976861975385,0.030542248778203752,0.03258912099876786,-0.06283398866112694,0.050881588285616536,0.3260636603606054,-0.060876692994842434,0.014642930825786235,0.00839208983497425,0.06918650436156812,0.04598083564176059,0.030279422764646256,-0.00975505756127602,-0.013028882269192429,0.010313516969436358,-0.05881315015622804,0.07116617971220447
